Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
3576.3;34516.00;249.6;370.1;101.8;249.00;359.6;101.8;53.00;44773.00;103.2;32.5;214.7;83.6;0.4;231.25;1610.37;131.3;0.4;56.8;45.25;56.5;null;93.6;92.38;0.81;801.00;1000.00;0.67;28522.00;311.91
3576.3;19603.00;233.5;364.6;101.3;231.00;338.1;102.4;58.8;37.6;103.00;38.6;290.59;104.7;14611.00;309.00;2310.23;158.5;14611.00;56.8;45.25;56.5;null;92.9;91.69;0.81;801.00;1000.00;0.67;25628.00;288.6
3576.3;44876.00;213.4;357.1;101.6;211.00;314.8;100.6;63.6;42.8;102.6;43.4;368.04;114.3;32874.00;388.11;3039.49;172.3;32874.00;56.8;45.25;56.5;null;91.4;90.2;0.81;801.00;1000.00;0.67;19085.00;248.79
3576.3;25903.00;191.6;347.4;98.4;187.00;291.5;99.00;64.7;46.2;102.00;46.1;434.66;121.3;11018.00;455.21;3824.08;181.5;11018.00;56.8;45.25;56.5;null;89.2;88.03;0.81;801.00;1000.00;0.67;44682.00;223.56
3576.3;14.29;171.9;337.7;99.2;169.00;270.3;99.5;64.00;49.4;104.4;49.9;483.28;129.8;22007.00;504.59;4299.1;190.6;25659.00;56.8;45.25;56.5;null;89.7;88.53;0.81;801.00;1000.00;0.67;28246.00;215.15
3576.3;19603.00;199.5;286.4;106.36;199.5;286.6;106.19;57.5;38.8;102.64;38.98;251.7;76.8;0.6;268.9;1921.00;119.00;0.6;56.8;41.22;48.3;null;90.7;89.51;0.81;789.8;1000.00;0.68;44776.00;241.13
3667.00;34516.00;252.00;354.33;102.93;252.00;354.2;101.57;56.00;null;105.3;33.00;234.86;56.07;0.00;261.28;1807.4;90.4;0.00;57.2;38.74;50.86;50.1;100.9;99.58;null;787.00;null;0.66;null;188.00
3667.00;19603.00;250.00;350.2;103.19;250.00;349.1;103.32;61.00;null;105.2;39.06;326.22;73.89;0.00;362.08;2532.4;118.00;0.00;57.2;38.74;50.86;50.1;100.1;98.79;null;787.00;null;0.66;null;178.00
3667.00;44876.00;240.00;344.00;105.67;240.00;344.1;105.59;65.00;null;105.2;44.9;429.72;92.13;44562.00;476.2;3392.3;146.00;1.00;57.2;38.74;50.86;50.1;102.00;100.67;null;787.00;null;0.66;null;169.00
3667.00;25903.00;228.00;336.7;108.1;228.00;343.00;108.14;42.00;null;105.1;49.84;532.28;109.81;13881.00;589.14;4228.8;175.5;14611.00;57.2;38.74;50.86;50.1;103.8;102.44;null;787.00;null;0.66;null;162.00
